Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH),Day Ahead Auction (IT-North-CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2015-01-01T00:00+01:00,,,16.06,44.94,
2015-01-01T01:00+01:00,,,13.58,43.43,
2015-01-01T02:00+01:00,,,14,38.08,
2015-01-01T03:00+01:00,,,12.8,35.47,
2015-01-01T04:00+01:00,,,13.73,30.83,
2015-01-01T05:00+01:00,,,10.19,28.26,
2015-01-01T06:00+01:00,,,12.24,25.36,
2015-01-01T07:00+01:00,,,16.92,26.93,
2015-01-01T08:00+01:00,,,14.05,24.95,
2015-01-01T09:00+01:00,,,11.69,26.71,
2015-01-01T10:00+01:00,,,9.58,30.04,
2015-01-01T11:00+01:00,,,12.57,31.77,
2015-01-01T12:00+01:00,,,13.28,35.09,
2015-01-01T13:00+01:00,,,19.66,35.39,
2015-01-01T14:00+01:00,,,14.92,31.47,
2015-01-01T15:00+01:00,,,6.96,29.08,
2015-01-01T16:00+01:00,,,4.53,31.03,
2015-01-01T17:00+01:00,,,4.52,39.09,
2015-01-01T18:00+01:00,,,3.71,47.82,
2015-01-01T19:00+01:00,,,2.22,50.75,
2015-01-01T20:00+01:00,,,2.3,49.3,
2015-01-01T21:00+01:00,,,2.11,48.24,
2015-01-01T22:00+01:00,,,0.58,49.04,
2015-01-01T23:00+01:00,,,0.09,46.14,
2015-01-02T00:00+01:00,,,0.15,42.29,
2015-01-02T01:00+01:00,,,1.63,38.1,
2015-01-02T02:00+01:00,,,3.33,38.03,
2015-01-02T03:00+01:00,,,6.61,32.06,
2015-01-02T04:00+01:00,,,7.99,27.66,
2015-01-02T05:00+01:00,,,11.17,28,
2015-01-02T06:00+01:00,,,12.05,33.44,
2015-01-02T07:00+01:00,,,15.39,37.1,
2015-01-02T08:00+01:00,,,18.09,39.34,
2015-01-02T09:00+01:00,,,18.66,41.82,
2015-01-02T10:00+01:00,,,23.74,42.19,
2015-01-02T11:00+01:00,,,27.47,43,
2015-01-02T12:00+01:00,,,25.86,44.02,
2015-01-02T13:00+01:00,,,22.3,42.48,
2015-01-02T14:00+01:00,,,20.48,39.12,
2015-01-02T15:00+01:00,,,18.7,38.05,
2015-01-02T16:00+01:00,,,18.43,39.49,
2015-01-02T17:00+01:00,,,16.56,47.91,
2015-01-02T18:00+01:00,,,14.19,52.88,
2015-01-02T19:00+01:00,,,13.6,52.96,
2015-01-02T20:00+01:00,,,9.05,49.91,
2015-01-02T21:00+01:00,,,6.41,48.93,
2015-01-02T22:00+01:00,,,4.95,50,
2015-01-02T23:00+01:00,,,1.35,49.86,
2015-01-03T00:00+01:00,,,2.72,39.48,
2015-01-03T01:00+01:00,,,3.16,37.01,
2015-01-03T02:00+01:00,,,6.32,35.61,
2015-01-03T03:00+01:00,,,9.58,29.28,
2015-01-03T04:00+01:00,,,12.72,26.24,
2015-01-03T05:00+01:00,,,13.83,25.82,
2015-01-03T06:00+01:00,,,15.14,26.75,
2015-01-03T07:00+01:00,,,17.93,30.84,
2015-01-03T08:00+01:00,,,19.02,35.78,
2015-01-03T09:00+01:00,,,19.4,37.2,
2015-01-03T10:00+01:00,,,24.24,36.44,
2015-01-03T11:00+01:00,,,25.68,36.74,
2015-01-03T12:00+01:00,,,26.2,37.07,
2015-01-03T13:00+01:00,,,24.96,37,
2015-01-03T14:00+01:00,,,23.56,33.76,
2015-01-03T15:00+01:00,,,21.6,31.07,
2015-01-03T16:00+01:00,,,19.9,31.48,
2015-01-03T17:00+01:00,,,20.47,40.09,
2015-01-03T18:00+01:00,,,20.27,46.36,
2015-01-03T19:00+01:00,,,21.3,48.95,
2015-01-03T20:00+01:00,,,21.19,48.04,
2015-01-03T21:00+01:00,,,20.84,46,
2015-01-03T22:00+01:00,,,22.19,43.66,
2015-01-03T23:00+01:00,,,22.9,37.48,
2015-01-04T00:00+01:00,,,24.18,36.41,
2015-01-04T01:00+01:00,,,24.68,31.46,
2015-01-04T02:00+01:00,,,19.85,24.97,
2015-01-04T03:00+01:00,,,20.02,14.42,
2015-01-04T04:00+01:00,,,17.88,11.03,
2015-01-04T05:00+01:00,,,12.17,13.77,
2015-01-04T06:00+01:00,,,11.41,16.44,
2015-01-04T07:00+01:00,,,8.58,17.79,
2015-01-04T08:00+01:00,,,10.1,18.86,
2015-01-04T09:00+01:00,,,18.03,28.83,
2015-01-04T10:00+01:00,,,32.85,33.02,
2015-01-04T11:00+01:00,,,47.86,35.64,
2015-01-04T12:00+01:00,,,57.69,37.3,
2015-01-04T13:00+01:00,,,55.82,35.41,
2015-01-04T14:00+01:00,,,42.84,30.34,
2015-01-04T15:00+01:00,,,23.21,26.52,
2015-01-04T16:00+01:00,,,8.35,26.51,
2015-01-04T17:00+01:00,,,4.61,42.98,
2015-01-04T18:00+01:00,,,4.54,49.85,
2015-01-04T19:00+01:00,,,3.89,48.61,
2015-01-04T20:00+01:00,,,4.04,48.14,
2015-01-04T21:00+01:00,,,3.36,43.99,
2015-01-04T22:00+01:00,,,1.73,46.03,
2015-01-04T23:00+01:00,,,1.21,43.04,
2015-01-05T00:00+01:00,,,0.86,37.8,47.72
2015-01-05T01:00+01:00,,,0.46,34.09,39.1
2015-01-05T02:00+01:00,,,0.4,31.89,35.21
2015-01-05T03:00+01:00,,,0.39,28.5,32.43
2015-01-05T04:00+01:00,,,0.51,27.23,33.15
2015-01-05T05:00+01:00,,,0.71,32.26,38.85
2015-01-05T06:00+01:00,,,1.06,43.72,48.89
2015-01-05T07:00+01:00,,,1.54,49.94,60.03
2015-01-05T08:00+01:00,,,3.52,51.98,63.98
2015-01-05T09:00+01:00,,,21.1,53,64.5
2015-01-05T10:00+01:00,,,47.39,52.71,55.49
2015-01-05T11:00+01:00,,,68.7,52.35,53.5
2015-01-05T12:00+01:00,,,75.76,52.02,51
2015-01-05T13:00+01:00,,,69.32,50.4,50.39
2015-01-05T14:00+01:00,,,51.45,50.55,54.45
2015-01-05T15:00+01:00,,,25.45,49.46,64
2015-01-05T16:00+01:00,,,4.33,50.79,64.25
2015-01-05T17:00+01:00,,,0.73,58.08,68.64
2015-01-05T18:00+01:00,,,0.72,64.63,67
2015-01-05T19:00+01:00,,,1.25,61.17,61.5
2015-01-05T20:00+01:00,,,1.27,54.19,55.95
2015-01-05T21:00+01:00,,,1.29,51.16,50.26
2015-01-05T22:00+01:00,,,1.45,50.64,50.53
2015-01-05T23:00+01:00,,,1.46,48.78,51
2015-01-06T00:00+01:00,,,1.61,43.4,49.78
2015-01-06T01:00+01:00,,,1.78,39.86,45.21
2015-01-06T02:00+01:00,,,1.54,38.04,38.8
2015-01-06T03:00+01:00,,,1.6,33.14,35
2015-01-06T04:00+01:00,,,1.52,30.21,33.43
2015-01-06T05:00+01:00,,,1.84,35.88,37.58
2015-01-06T06:00+01:00,,,1.93,41.41,43.5
2015-01-06T07:00+01:00,,,2.49,50.67,52
2015-01-06T08:00+01:00,,,3.46,50.26,52
2015-01-06T09:00+01:00,,,15.37,49.79,51.04
2015-01-06T10:00+01:00,,,33.01,48.34,50.28
2015-01-06T11:00+01:00,,,45.55,47.43,49.1
2015-01-06T12:00+01:00,,,50.02,46.26,47.97
2015-01-06T13:00+01:00,,,46.74,44.25,45.11
2015-01-06T14:00+01:00,,,35.23,43.79,45.44
2015-01-06T15:00+01:00,,,18.15,43.94,52.49
2015-01-06T16:00+01:00,,,4.76,47.01,57.89
2015-01-06T17:00+01:00,,,1.74,52.45,63.98
2015-01-06T18:00+01:00,,,3.93,54.26,61.1
2015-01-06T19:00+01:00,,,6.36,52.98,59.17
2015-01-06T20:00+01:00,,,4.61,49.96,55
2015-01-06T21:00+01:00,,,6.15,47.92,50
2015-01-06T22:00+01:00,,,6.18,48.94,50.27
2015-01-06T23:00+01:00,,,6.19,47.98,49.1
2015-01-07T00:00+01:00,,,0.22,43.5,49.92
2015-01-07T01:00+01:00,,,0.79,39.46,45.5
2015-01-07T02:00+01:00,,,0.51,37.08,45
2015-01-07T03:00+01:00,,,0.46,35.06,41.85
2015-01-07T04:00+01:00,,,0.56,33.69,41.85
2015-01-07T05:00+01:00,,,0.41,38.02,44.32
2015-01-07T06:00+01:00,,,0.23,47.98,51.96
2015-01-07T07:00+01:00,,,0.08,52.41,57.33
2015-01-07T08:00+01:00,,,0.94,53.9,69.69
2015-01-07T09:00+01:00,,,5.57,54.95,70.95
2015-01-07T10:00+01:00,,,12.59,54.22,66.4
2015-01-07T11:00+01:00,,,18.7,53.76,63.98
2015-01-07T12:00+01:00,,,24.53,51.98,54.99
2015-01-07T13:00+01:00,,,25.37,50.42,52.62
2015-01-07T14:00+01:00,,,19.46,48.95,64.34
2015-01-07T15:00+01:00,,,9.85,48.92,65
2015-01-07T16:00+01:00,,,1.91,49.79,65.02
2015-01-07T17:00+01:00,,,0.1,52.85,65.21
2015-01-07T18:00+01:00,,,0.28,55.86,63
2015-01-07T19:00+01:00,,,0.5,54.04,58.23
2015-01-07T20:00+01:00,,,0.95,50.3,52.1
2015-01-07T21:00+01:00,,,1.26,46.47,50.55
2015-01-07T22:00+01:00,,,1.06,47.86,49.78
2015-01-07T23:00+01:00,,,0.78,45.55,49.78
2015-01-08T00:00+01:00,,,8.9,44.19,46.48
2015-01-08T01:00+01:00,,,10.44,42.18,40.85
2015-01-08T02:00+01:00,,,11.32,41.09,40.03
2015-01-08T03:00+01:00,,,12.15,40.98,38.85
2015-01-08T04:00+01:00,,,12.32,39.18,39.1
2015-01-08T05:00+01:00,,,12.05,44.2,44.41
2015-01-08T06:00+01:00,,,12.75,47.02,60
2015-01-08T07:00+01:00,,,12.73,49.44,65.66
2015-01-08T08:00+01:00,,,15.13,49.99,78.24
2015-01-08T09:00+01:00,,,24.11,49.43,76
2015-01-08T10:00+01:00,,,39.57,48.76,71.35
2015-01-08T11:00+01:00,,,51.73,48.04,66.95
2015-01-08T12:00+01:00,,,58.98,48.09,57.75
2015-01-08T13:00+01:00,,,52.92,48.35,57.89
2015-01-08T14:00+01:00,,,38.52,48.41,65.15
2015-01-08T15:00+01:00,,,27.36,48.42,65
2015-01-08T16:00+01:00,,,21.14,48.47,65.99
2015-01-08T17:00+01:00,,,19.43,48.1,67.08
2015-01-08T18:00+01:00,,,19.96,47.42,64
2015-01-08T19:00+01:00,,,20.18,46.75,62
2015-01-08T20:00+01:00,,,19.61,46.69,57.2
2015-01-08T21:00+01:00,,,16.94,46.31,51.01
2015-01-08T22:00+01:00,,,14.79,46.91,50.26
2015-01-08T23:00+01:00,,,14.95,41,48.9
2015-01-09T00:00+01:00,,,12.51,42.44,44.89
2015-01-09T01:00+01:00,,,10.45,41.31,41.1
2015-01-09T02:00+01:00,,,10.05,41.98,40.8
2015-01-09T03:00+01:00,,,19.19,41.06,40.03
2015-01-09T04:00+01:00,,,20.68,41.07,40.8
2015-01-09T05:00+01:00,,,17.61,44.07,46.21
2015-01-09T06:00+01:00,,,20.02,45.48,52.04
2015-01-09T07:00+01:00,,,21.26,46.98,60.03
2015-01-09T08:00+01:00,,,21.58,47.93,69.65
2015-01-09T09:00+01:00,,,27.68,47.28,71.94
2015-01-09T10:00+01:00,,,31.32,47.95,65.39
2015-01-09T11:00+01:00,,,30.8,47.95,63.98
2015-01-09T12:00+01:00,,,36.99,47.9,52.44
2015-01-09T13:00+01:00,,,34.49,46.98,51.05
2015-01-09T14:00+01:00,,,28.92,46.92,54.45
2015-01-09T15:00+01:00,,,24.53,46.95,58
2015-01-09T16:00+01:00,,,20.59,46.95,61
2015-01-09T17:00+01:00,,,19.71,45.96,65.04
2015-01-09T18:00+01:00,,,20.79,45.91,63.98
2015-01-09T19:00+01:00,,,22.16,44.94,58.43
2015-01-09T20:00+01:00,,,22.51,44.58,51.8
2015-01-09T21:00+01:00,,,24.22,44.95,50.4
2015-01-09T22:00+01:00,,,21.44,45.66,48.8
2015-01-09T23:00+01:00,,,18.93,43.28,44.96
2015-01-10T00:00+01:00,,,19.12,37.06,42.49
2015-01-10T01:00+01:00,,,17.65,35.08,38.8
2015-01-10T02:00+01:00,,,18.73,32.04,34.51
2015-01-10T03:00+01:00,,,19.65,32,33.35
2015-01-10T04:00+01:00,,,18,29.86,32.68
2015-01-10T05:00+01:00,,,21.41,32,34.51
2015-01-10T06:00+01:00,,,19.35,30.99,42.99
2015-01-10T07:00+01:00,,,18.35,37.08,49.11
2015-01-10T08:00+01:00,,,22.71,41.06,50.16
2015-01-10T09:00+01:00,,,38.07,41.47,49.28
2015-01-10T10:00+01:00,,,61.02,42.01,47.01
2015-01-10T11:00+01:00,,,76.72,42.75,44.49
2015-01-10T12:00+01:00,,,82.87,41.81,40.78
2015-01-10T13:00+01:00,,,78.09,37.06,38
2015-01-10T14:00+01:00,,,60.56,41.1,39.46
2015-01-10T15:00+01:00,,,40.48,43.71,45
2015-01-10T16:00+01:00,,,23.69,44.92,47.72
2015-01-10T17:00+01:00,,,21.82,45.83,53.1
2015-01-10T18:00+01:00,,,22.73,44.96,52.84
2015-01-10T19:00+01:00,,,21.55,42.05,51.95
2015-01-10T20:00+01:00,,,21.12,41.42,49
2015-01-10T21:00+01:00,,,22.98,41.4,46.44
2015-01-10T22:00+01:00,,,23.07,41.45,44.49
2015-01-10T23:00+01:00,,,25.04,32.07,40.83
2015-01-11T00:00+01:00,,,6.15,37.63,39.24
2015-01-11T01:00+01:00,,,6.05,29.37,34.45
2015-01-11T02:00+01:00,,,5.92,25.09,27.74
2015-01-11T03:00+01:00,,,4.97,12.08,20
2015-01-11T04:00+01:00,,,4.81,11.02,20
2015-01-11T05:00+01:00,,,4.75,11.09,25.01
2015-01-11T06:00+01:00,,,3.92,21.09,33.76
2015-01-11T07:00+01:00,,,3.27,15.5,37.27
2015-01-11T08:00+01:00,,,3.33,18.39,38.78
2015-01-11T09:00+01:00,,,5.27,28.65,40.01
2015-01-11T10:00+01:00,,,8.49,33.88,37
2015-01-11T11:00+01:00,,,15.77,33.93,34.51
2015-01-11T12:00+01:00,,,21.41,36.59,33.76
2015-01-11T13:00+01:00,,,20.24,20.63,28
2015-01-11T14:00+01:00,,,17.17,29.58,30.2
2015-01-11T15:00+01:00,,,11.37,34.93,35.51
2015-01-11T16:00+01:00,,,5.3,43,44.53
2015-01-11T17:00+01:00,,,4.2,45.02,53.48
2015-01-11T18:00+01:00,,,4.02,45.1,55
2015-01-11T19:00+01:00,,,4.83,44.33,58.71
2015-01-11T20:00+01:00,,,3.66,42.93,55.6
2015-01-11T21:00+01:00,,,4.45,43.04,49.21
2015-01-11T22:00+01:00,,,4.73,41.98,45.01
2015-01-11T23:00+01:00,,,3.13,38.7,38.96
2015-01-12T00:00+01:00,,,2.32,28.08,33.78
2015-01-12T01:00+01:00,,,1.88,25.06,28.3
2015-01-12T02:00+01:00,,,1.71,19.66,22.08
2015-01-12T03:00+01:00,,,0.93,14.67,19.8
2015-01-12T04:00+01:00,,,0.44,23.45,25
2015-01-12T05:00+01:00,,,0.83,36.37,33.62
2015-01-12T06:00+01:00,,,1.14,45.86,48.07
2015-01-12T07:00+01:00,,,1.48,47.95,55.23
2015-01-12T08:00+01:00,,,2.4,47.72,65
2015-01-12T09:00+01:00,,,7.3,47.17,61.28
2015-01-12T10:00+01:00,,,18.71,46.34,54.28
2015-01-12T11:00+01:00,,,22.95,46.82,53.36
2015-01-12T12:00+01:00,,,24.59,45.18,47.88
2015-01-12T13:00+01:00,,,25.74,43.92,48.36
2015-01-12T14:00+01:00,,,21.17,44.86,52.69
2015-01-12T15:00+01:00,,,13.26,45,57.35
2015-01-12T16:00+01:00,,,5.37,45.8,59.21
2015-01-12T17:00+01:00,,,1.38,43.32,61.82
2015-01-12T18:00+01:00,,,1.45,46.95,59.8
2015-01-12T19:00+01:00,,,1.92,46.42,55.5
2015-01-12T20:00+01:00,,,2.54,42.68,51.7
2015-01-12T21:00+01:00,,,2.8,43.97,51.52
2015-01-12T22:00+01:00,,,3.45,45.27,48.93
2015-01-12T23:00+01:00,,,3.44,41.93,45.74
2015-01-13T00:00+01:00,,,2.4,40.88,44.2
2015-01-13T01:00+01:00,,,2.46,37.99,41.53
