Date (GMT+1),Nuclear,Renewable,Day Ahead Auction (CH),Day Ahead Auction (IT-North-CH)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2017-01-01T00:00+01:00,1731.124931,2470.760402,57.04,53
2017-01-01T01:00+01:00,1731.522411,2671.915303,51.94,52
2017-01-01T02:00+01:00,1730.528711,2019.458684,49.07,51
2017-01-01T03:00+01:00,1730.329971,1822.960382,45.01,47.27
2017-01-01T04:00+01:00,1730.628081,1759.259714,42.4,45.49
2017-01-01T05:00+01:00,1729.932491,1646.833589,42.43,45.69
2017-01-01T06:00+01:00,1728.740051,1644.446788,43.04,48.07
2017-01-01T07:00+01:00,1729.137531,1734.424696,41.08,45.67
2017-01-01T08:00+01:00,1727.94509,1655.380263,44.07,45.48
2017-01-01T09:00+01:00,1729.833121,2101.325993,43.52,42.06
2017-01-01T10:00+01:00,1730.131231,2193.840654,44.96,46.86
2017-01-01T11:00+01:00,1730.031861,2431.714595,44.22,48.02
2017-01-01T12:00+01:00,1734.106031,1926.586012,46.09,49.57
2017-01-01T13:00+01:00,1728.839421,1970.227398,44.09,48.69
2017-01-01T14:00+01:00,1728.64068,2840.130436,41.33,46.91
2017-01-01T15:00+01:00,1731.621781,2459.713709,41.64,49.43
2017-01-01T16:00+01:00,1727.94509,2039.577069,47.65,50.45
2017-01-01T17:00+01:00,1734.602881,2795.354612,53.94,53.3
2017-01-01T18:00+01:00,1736.888391,4352.082083,58.52,59.07
2017-01-01T19:00+01:00,1736.391541,4889.494884,59.01,61.71
2017-01-01T20:00+01:00,1734.006661,3212.597346,55.6,56.26
2017-01-01T21:00+01:00,1731.025561,3357.93589,53.6,55
2017-01-01T22:00+01:00,1730.727451,2696.764406,54.01,54
2017-01-01T23:00+01:00,1731.621781,1791.969236,53.07,52
2017-01-02T00:00+01:00,1732.019261,1828.775459,51.85,53
2017-01-02T01:00+01:00,1730.131231,1630.35505,50.04,50.18
2017-01-02T02:00+01:00,1730.528711,1577.901578,48.34,49.11
2017-01-02T03:00+01:00,1728.839421,1555.003577,46.89,48.15
2017-01-02T04:00+01:00,1728.839421,1565.114392,45.51,48.41
2017-01-02T05:00+01:00,1729.435641,1650.857964,46.79,48.15
2017-01-02T06:00+01:00,1726.65328,1538.355674,51.29,52
2017-01-02T07:00+01:00,1728.938791,2251.111575,60.97,59.07
2017-01-02T08:00+01:00,1727.44824,4329.210382,61.25,64.15
2017-01-02T09:00+01:00,1727.64698,4379.20264,61.04,62.5
2017-01-02T10:00+01:00,1728.938791,4448.172305,61.22,61.7
2017-01-02T11:00+01:00,1728.04446,4651.150724,61.02,61.2
2017-01-02T12:00+01:00,1727.74635,4416.866662,61.25,55.69
2017-01-02T13:00+01:00,1727.54761,4589.175113,61.22,55.67
2017-01-02T14:00+01:00,1728.54131,4186.318813,60.92,61.19
