Date (GMT+1),Nuclear,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,2972.781583,1668.858744,50.98
2021-01-01T01:00+01:00,2974.067773,1394.975969,45.94
2021-01-01T02:00+01:00,2973.672022,1332.980454,44.53
2021-01-01T03:00+01:00,2972.88052,1290.263476,41.01
2021-01-01T04:00+01:00,2972.979458,1210.458664,39.23
2021-01-01T05:00+01:00,2971.198579,1290.564323,38.43
2021-01-01T06:00+01:00,2968.527261,1482.174407,39.57
2021-01-01T07:00+01:00,2968.527261,1638.765954,40.78
2021-01-01T08:00+01:00,2969.021949,1622.080884,42.72
2021-01-01T09:00+01:00,2970.506015,1643.097201,44.32
2021-01-01T10:00+01:00,2968.032572,1676.214631,46.14
2021-01-01T11:00+01:00,2967.537884,1717.487892,46.35
2021-01-01T12:00+01:00,2968.032572,1939.908469,48.9
2021-01-01T13:00+01:00,2967.735759,1710.722423,48.52
2021-01-01T14:00+01:00,2968.329385,1664.162411,48.05
2021-01-01T15:00+01:00,2967.834697,1679.348388,49.02
2021-01-01T16:00+01:00,2968.824074,2245.00911,53.73
2021-01-01T17:00+01:00,2967.241071,5170.93831,57.72
2021-01-01T18:00+01:00,2967.636821,5702.424902,58.3
2021-01-01T19:00+01:00,2969.120887,5296.644392,58.12
2021-01-01T20:00+01:00,2969.516638,3861.104421,56.46
2021-01-01T21:00+01:00,2969.714513,2211.411915,53.89
2021-01-01T22:00+01:00,2969.318763,2060.508876,52.02
2021-01-01T23:00+01:00,2970.901766,1718.680946,48.72
2021-01-02T00:00+01:00,2973.573084,1448.617318,53.24
2021-01-02T01:00+01:00,2981.092351,1323.056229,49.66
2021-01-02T02:00+01:00,2977.332718,1271.29546,46.04
2021-01-02T03:00+01:00,2971.495392,1299.575386,43.49
2021-01-02T04:00+01:00,2969.615576,1270.992905,42.04
2021-01-02T05:00+01:00,2967.043195,1296.189433,42.85
2021-01-02T06:00+01:00,2966.449569,1425.495551,45.26
2021-01-02T07:00+01:00,2966.647444,1571.814938,49.16
2021-01-02T08:00+01:00,2967.043195,1814.308313,53.27
2021-01-02T09:00+01:00,2968.428323,1904.078989,58.83
2021-01-02T10:00+01:00,2967.537884,1987.035017,59.45
2021-01-02T11:00+01:00,2967.438946,2144.370381,59.75
2021-01-02T12:00+01:00,2967.933635,2382.768405,60.19
2021-01-02T13:00+01:00,2967.537884,2227.659203,59.19
2021-01-02T14:00+01:00,2968.527261,2324.634299,57.76
2021-01-02T15:00+01:00,2968.032572,2756.938802,59.17
2021-01-02T16:00+01:00,2969.516638,4227.941515,61.71
2021-01-02T17:00+01:00,2970.407077,5320.752228,64.53
2021-01-02T18:00+01:00,2968.428323,4845.135906,64.79
2021-01-02T19:00+01:00,2970.110264,4323.0111,64.08
2021-01-02T20:00+01:00,2969.615576,2663.848175,61.47
2021-01-02T21:00+01:00,2970.703891,1970.271354,58.58
2021-01-02T22:00+01:00,2973.177334,1615.958541,57.88
2021-01-02T23:00+01:00,2973.968835,1560.17922,56.03
2021-01-03T00:00+01:00,2972.682645,1325.215501,48.95
2021-01-03T01:00+01:00,2975.05715,1183.175852,42.03
2021-01-03T02:00+01:00,2976.046527,1193.772011,39.8
2021-01-03T03:00+01:00,2974.067773,1210.115306,36.77
