Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-01T00:00+01:00,2971.566408,462.5,843.36,102.2
2025-01-01T01:00+01:00,2971.165988,462.5,1539.948185,98.2
2025-01-01T02:00+01:00,2971.616461,462.5,1660.279927,72.6
2025-01-01T03:00+01:00,2972.597489,462.5,1429.874066,67.85
2025-01-01T04:00+01:00,2977.923075,462.5,1522.372946,62.87
2025-01-01T05:00+01:00,2970.164938,462.5,1507.267803,58.99
2025-01-01T06:00+01:00,2966.641243,462.5,1435.372395,68.57
2025-01-01T07:00+01:00,2968.242923,462.5,1412.657664,74.03
2025-01-01T08:00+01:00,2968.663364,462.5,1449.482197,76.55
2025-01-01T09:00+01:00,2968.613311,462.5,1710.117484,88.1
2025-01-01T10:00+01:00,2970.665463,462.5,1897.125375,85.73
2025-01-01T11:00+01:00,2969.744497,462.5,2201.376636,75.8
2025-01-01T12:00+01:00,2968.763469,462.5,2481.689565,70.74
2025-01-01T13:00+01:00,2967.512156,462.5,2560.786062,68.38
2025-01-01T14:00+01:00,2967.091715,462.5,2302.324365,65.05
2025-01-01T15:00+01:00,2964.739248,462.5,1985.801923,82.71
2025-01-01T16:00+01:00,2962.336729,462.5,1825.569849,104.1
2025-01-01T17:00+01:00,2962.837253,462.5,2031.37793,107.3
2025-01-01T18:00+01:00,2964.639143,462.5,2124.457963,108.2
2025-01-01T19:00+01:00,2964.989511,462.5,1995.971571,106.18
2025-01-01T20:00+01:00,2965.510057,462.5,1834.920354,102.83
2025-01-01T21:00+01:00,2965.940508,462.5,1517.597395,102.33
2025-01-01T22:00+01:00,2967.241873,462.5,1560.816834,103.56
2025-01-01T23:00+01:00,2966.010581,462.5,1404.92272,102.74
2025-01-02T00:00+01:00,2966.310896,462.5,1690.419948,108.93
2025-01-02T01:00+01:00,2966.891505,462.5,1427.966284,109.49
2025-01-02T02:00+01:00,2965.760319,462.5,1167.036281,107.7
2025-01-02T03:00+01:00,2965.690246,462.5,1163.837594,107
2025-01-02T04:00+01:00,2966.461054,462.5,1184.188588,106.3
2025-01-02T05:00+01:00,2963.838303,462.5,1286.855542,106.82
2025-01-02T06:00+01:00,2962.15654,462.5,1554.802787,110.95
2025-01-02T07:00+01:00,2963.037463,462.5,2145.552683,125.37
2025-01-02T08:00+01:00,2961.605962,462.5,3650.416485,132.08
2025-01-02T09:00+01:00,2961.435784,462.5,3977.290613,133.4
2025-01-02T10:00+01:00,2969.364098,462.5,3162.323528,130.97
2025-01-02T11:00+01:00,2962.306697,462.5,3085.966297,127.45
2025-01-02T12:00+01:00,2953.277227,462.5,2330.082416,124.81
2025-01-02T13:00+01:00,2951.845726,462.5,2226.726727,126.35
2025-01-02T14:00+01:00,2953.147091,462.5,2546.903472,128.95
2025-01-02T15:00+01:00,2954.648666,462.5,3297.530519,134.59
2025-01-02T16:00+01:00,2954.52854,462.5,3925.740159,138.13
2025-01-02T17:00+01:00,2955.549611,462.5,4944.983476,143.59
2025-01-02T18:00+01:00,2956.650765,462.5,5122.863275,144.57
2025-01-02T19:00+01:00,2957.731899,462.5,4725.035769,141.12
2025-01-02T20:00+01:00,2962.236624,462.5,3397.823214,135.32
2025-01-02T21:00+01:00,2966.010581,462.5,2655.399199,125.73
2025-01-02T22:00+01:00,2966.961579,462.5,2083.602357,125.85
2025-01-02T23:00+01:00,2967.361999,462.5,1837.272788,115.99
2025-01-03T00:00+01:00,2968.713416,462.5,1626.838629,108.58
2025-01-03T01:00+01:00,2968.162839,462.5,1371.826837,107.16
2025-01-03T02:00+01:00,2969.243972,462.5,1303.431676,106.82
2025-01-03T03:00+01:00,2967.762419,462.5,1307.393282,104.43
2025-01-03T04:00+01:00,2966.461054,462.5,1453.614651,105.74
2025-01-03T05:00+01:00,2966.290875,462.5,1625.710377,110.43
2025-01-03T06:00+01:00,2965.059584,462.5,2307.684125,118.32
2025-01-03T07:00+01:00,2963.558009,462.5,3913.345762,127.4
2025-01-03T08:00+01:00,2962.006382,462.5,4308.498143,135.08
2025-01-03T09:00+01:00,2964.038513,462.5,4128.441279,134.13
2025-01-03T10:00+01:00,2966.340928,462.5,4179.432758,131
2025-01-03T11:00+01:00,2968.543238,462.5,4093.32753,126.31
2025-01-03T12:00+01:00,2968.663364,462.5,4110.56299,121.69
2025-01-03T13:00+01:00,2968.743448,462.5,4101.221,120.04
2025-01-03T14:00+01:00,2968.893605,462.5,3820.09605,121.01
2025-01-03T15:00+01:00,2967.211841,462.5,3886.472531,128.61
