Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Switzerland,Switzerland,CH,59.37,88.9,91.63,57.29,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T01:00:00.000000,Switzerland,Switzerland,CH,52.66,81.11,92.57,56.57,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T02:00:00.000000,Switzerland,Switzerland,CH,53.24,81.76,92.41,55.52,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T03:00:00.000000,Switzerland,Switzerland,CH,50.84,78.94,92.66,55.32,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T04:00:00.000000,Switzerland,Switzerland,CH,46.3,73.7,93.21,55.26,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T05:00:00.000000,Switzerland,Switzerland,CH,45.47,72.83,93.32,56.6,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T06:00:00.000000,Switzerland,Switzerland,CH,46.37,74.51,93.15,59.74,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T07:00:00.000000,Switzerland,Switzerland,CH,42.2,69.98,93.83,60.72,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T08:00:00.000000,Switzerland,Switzerland,CH,36.92,64.21,94.52,61.59,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T09:00:00.000000,Switzerland,Switzerland,CH,35.77,63.39,94.73,63.98,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T10:00:00.000000,Switzerland,Switzerland,CH,31.9,59.35,95.28,65.5,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T11:00:00.000000,Switzerland,Switzerland,CH,31.65,59.21,95.37,66.11,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T12:00:00.000000,Switzerland,Switzerland,CH,30.02,56.91,95.57,64.99,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T13:00:00.000000,Switzerland,Switzerland,CH,26.13,51.44,96.08,62.44,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T14:00:00.000000,Switzerland,Switzerland,CH,29.56,54.8,95.63,61.94,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T15:00:00.000000,Switzerland,Switzerland,CH,24.34,48.48,96.38,61.05,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T16:00:00.000000,Switzerland,Switzerland,CH,25.32,49.56,96.27,62.16,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T17:00:00.000000,Switzerland,Switzerland,CH,27.47,52.11,96.07,62.98,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T18:00:00.000000,Switzerland,Switzerland,CH,30.29,55.31,95.68,62.23,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T19:00:00.000000,Switzerland,Switzerland,CH,33.97,59.14,95.14,60.4,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T20:00:00.000000,Switzerland,Switzerland,CH,35.07,60.21,95.1,59.21,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T21:00:00.000000,Switzerland,Switzerland,CH,46.79,74.04,93.52,60.01,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T22:00:00.000000,Switzerland,Switzerland,CH,50.42,78.19,93.02,59.94,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-01T23:00:00.000000,Switzerland,Switzerland,CH,55.0,83.6,92.57,61.43,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-02T00:00:00.000000,Switzerland,Switzerland,CH,54.62,82.9,92.72,60.29,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-02T01:00:00.000000,Switzerland,Switzerland,CH,55.46,84.13,92.5,59.61,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2025-01-02T02:00:00.000000,Switzerland,Switzerland,CH,56.34,85.22,92.29,58.76,EMBER + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
